date	object	photo	pass	obj_w_mm	obj_h_mm	shape	cond	min_dist	smooth_mm	pocket_eps	mask_smooth_mm	shadow	symmetry	keep_bumps	extra_flags	contain	clear_x	clear_y	nodes	gate	winner	note
2026-07-07	multi_tester	multi_tester_up.jpg	0	73.62	97.50	retilinea	clara-papel;2fotos-mesma;describe	10	2.5	0	2	remove	none	1	--in2 multi_tester_up.jpg --shape rect --corner-radius 2	1.0000	2.82	2.07	8	1	0	semente v0.13: soquete ZIF saliente entorta o minAreaRect ~2deg -> folga +2.8/+2.1 vs +0.14 do generico; modelo NAO vence com feature fora da forma
2026-07-07	case_usb	case_usb.jpg	1	70.38	77.62	retilinea	cinza-neutro;val-frac	1.5	2.5	0	2	remove	none	0	-	1.0000	-0.08	0.18	21	1	0	mask-smooth-mm removeu saliencia; firme 48%
2026-07-07	case_usb	case_usb.jpg	2	111.25	77.88	retilinea	cinza-neutro;val-frac	1.5	2.5	0	2	remove	none	1	-	1.0000	-0.10	0.62	32	1	0	keep-bumps mantem saliencia mas corpo escuro cortado; firme 42%
2026-07-07	case_usb	case_usb.jpg	3	123.00	78.12	retilinea	cinza-neutro;val-frac	1.5	2.5	0	2	remove	none	1	--val-frac 0.68	1.0000	0.07	0.11	14	1	1	val-frac 0.68 pegou o corpo escuro todo; perfeito; firme 100%
2026-07-07	case_usb	case_usb.jpg	1	123.00	78.00	retilinea	cinza-neutro;val-frac;describe	1.5	2.5	0	2	remove	none	0	--val-frac 0.68 --shape rect --corner-radius 3	1.0000	0.14	0.56	8	1	0	describe "retangulo simetrico": infl 0 (r declarado = 3); contorno exato 8 Beziers; folga max +0.56 vs +0.11 generico
2026-07-07	case_usb	case_usb.jpg	2	123.00	78.00	retilinea	cinza-neutro;val-frac;describe	1.5	2.5	0	2	remove	none	0	--val-frac 0.68 --shape rect --corner-radius 7	1.0000	0.10	0.52	8	1	1	r=7 nao infla (infl=0.00) e minimiza folga; o raio real eh 7mm
2026-07-08	pi	pi_up.jpg	1	90.00	58.75	retilinea	2fotos;clara-papel;describe	10	8	0.5	0	remove	none	0	--in2 images/pi_down.jpg --corner-radius 3	0.9991	-0.06	-0.23	53	0	0	diagnostico c/ defaults smooth8/eps0.5; registro rot181 score0.79 OK; deficit nos conectores (audio jack top, RJ45)
2026-07-08	pi	pi_up.jpg	2	89.75	58.00	retilinea	2fotos;clara-papel;describe	10	2.5	0	2	remove	none	0	--in2 images/pi_down.jpg --corner-radius 3	0.9967	0.35	0.22	44	0	0	start baseline: mask-smooth-mm 2 COMEU saliencia convexa ~4.1mm2 (bump de conector) -> AVISO
2026-07-08	pi	pi_up.jpg	3	90.00	58.75	retilinea	2fotos;clara-papel;describe	10	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	0.9999	0.07	-0.02	47	1	1	keep-bumps preservou conectores; gate cruzado; = melhor-conhecido do Pi (folga +0.07/-0.02)
2026-07-08	pi	pi_up.jpg	1	90.18	59.48	retilinea	2fotos;clara-papel;describe;pins	10	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	0.9995	-0.14	-0.00	51	0	0	1o passe GUI: rot -0.40 + 15 pins nos conectores; min-dist 10 (teto) arqueia p/ dentro -> folga X negativa
2026-07-08	pi	pi_up.jpg	2	90.18	59.48	retilinea	2fotos;clara-papel;describe;pins	5	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	0.9998	0.06	0.01	49	0	1	melhor da sessao: min-dist 5 = otimo da rampa (10->0.9995, 5->0.9998, 2.5->0.9996); a um fio do gate
2026-07-08	pi	pi_up.jpg	3	90.18	59.48	retilinea	2fotos;clara-papel;describe;pins	2.5	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	0.9996	0.06	0.01	63	0	0	min-dist 2.5 piorou contem e ADICIONOU nos (49->63); rampa esgotada; final --edit WYSIWYG contem 0.9996 (49 Bez)
2026-07-09	pi	pi_up.jpg	1	90.20	59.00	retilinea	2fotos;clara-papel;pins	5	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	1.0000	0.03	0.01	61	1	0	recalibrado do zero (sidecar deletado); 1o passe GUI rot -0.50 + 9 pins; gate direto
2026-07-09	pi	pi_up.jpg	2	90.20	59.00	retilinea	2fotos;clara-papel;pins	8	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	1.0000	-0.18	0.01	56	1	0	subida da rampa; menos nos, folga X flush (contem ainda 1.0)
2026-07-09	pi	pi_up.jpg	3	90.20	59.00	retilinea	2fotos;clara-papel;pins	10	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	0.9999	0.31	0.10	48	1	1	vencedor da rampa (menos nos + gate); com 9 pins md10 NAO arqueia p/ dentro (folga +); final --edit WYSIWYG -> 54 Bez contem 0.9993 definitivo
2026-07-09	pi	pi_up.jpg	1	90.53	58.98	retilinea	2fotos;clara-papel;pins	10	2.5	0	2	remove	none	1	--in2 images/pi_down.jpg --corner-radius 3	1.0000	0.00	0.00	34	1	1	sidecar herdado 34 pins + 34 trechos fixos; contorno 100% fixo; gate 1.0 flush; --edit WYSIWYG 34 Bez contem 1.0000 definitivo; firme 94%
2026-07-09	zoerax	zoerax.jpg	1	33.25	32.00	organica	describe	3	2.5	0	2	remove	none	0	-	0.4073	0.09	0.04	26	0	0	1o passe sem keep-bumps e com val-frac default 0.3; pegou so o metal inferior da ferramenta (alicate); AVISO removeu saliencia
2026-07-09	zoerax	zoerax.jpg	2	76.88	142.12	organica	val-frac;describe	3	2.5	0	2	remove	none	0	--val-frac 0.75	0.9992	0.17	0.24	59	0	0	subiu val-frac p/ 0.75 p/ pegar o cabo preto/azul inteiro; contem 0.9992; AVISO removeu saliencia convexa
2026-07-09	zoerax	zoerax.jpg	3	77.12	142.25	organica	val-frac;describe;pins	2	2.5	0	2	remove	none	1	--val-frac 0.75	1.0000	0.27	0.02	66	1	1	keep-bumps p/ preservar serrilhado + md 2 cruzou gate (1.0000); editWYSIWYG: 67 Beziers, 3 pins, 2 trechos fixos, contem 0.9998 definitivo
2026-07-09	zoerax	zoerax.jpg	4	77.12	142.33	organica	val-frac;describe;pins	2.5	2.5	0	2	remove	none	1	--val-frac 0.75	1.0000	0.14	0.08	72	1	0	(pos-gate explore) min-dist 2.5 aumentou nos p/ 72; sidecar aplicado
2026-07-09	zoerax	zoerax.jpg	5	77.12	142.33	organica	val-frac;describe;pins	2	2.5	0.5	2	remove	none	1	--val-frac 0.75	1.0000	0.15	0.08	70	1	0	(pos-gate explore) pocket-eps 0.5 aumentou nos p/ 70; sidecar aplicado
2026-07-09	zoerax	zoerax.jpg	6	77.12	142.33	organica	val-frac;describe;pins	2	2.0	0	2	remove	none	1	--val-frac 0.75	1.0000	0.33	0.04	71	1	0	(pos-gate explore) smooth-mm 2.0 aumentou nos p/ 71; sidecar aplicado
2026-07-09	zoerax	zoerax.jpg	7	77.12	142.33	organica	val-frac;describe;pins	2	2.5	0	2	remove	none	1	--val-frac 0.75	0.9610	-	-	64	0	1	(passe extra pedido) edit massivo do usuario: rot -2.4, 16 pins, 14 trechos fixos; contem caiu p/ 0.9610 por decisao manual; definitivo
